State,Substitution Requirements,"Pharmacy Notification Requirements (to prescriber, patient, or others)"
"Alaska S.B. 32
Effective January 1,
2019.","A pharmacist may substitute a biosimilar if:
1.    The prescription does not indicate that it is dispensed as written; and
2.    The patient consents to the substitution.","The pharmacist must notify the prescriber:
1.    Information regarding the biological product provided to the patient, including the name and manufacturer;
2.    Within 3 business days of dispensing the biologic; and
3.    Via an electronic means (i.e., medical records system, prescribing technology, pharmacy benefit management system, pharmacy record) (with exceptions)."
"Arizona H.B. 2310
Effective December 31,
2016","A pharmacist may substitute a biosimilar for a prescribed biologic only if:
1.   FDA has determined the biologic is interchangeable with the prescribed biologic; and
2.    The prescriber has not designated in writing or electronically that substitution is prohibited.","The patient must be notified of the substitution.
The pharmacist (or designee) must notify the prescriber:
1.    Of the drug’s name and manufacturer;
2.    Within 5 days of dispensing the biologic; and
3.    Via an electronic means (i.e., medical records system, prescribing technology, pharmacy record) (with exceptions)."
"California S.B. 671
Effective January 1,
2016","A pharmacist may substitute an alternative biological product for a prescribed biologic if:
1.    The alternative is interchangeable;
2.    The prescriber did not indicate “do not substitute”; and
3.    The cost to the patient of the alternative is the same as or less than the price of the prescribed biologic.","The patient must be notified of the substitution.
The pharmacist (or designee) must notify the prescriber:
1.    Of the drug’s name and manufacturer;
2.    Within 5 days of dispensing the biologic; and
3.    Via an interoperable electronic medical records system (with exceptions)."
State,Substitution Requirements,"Pharmacy Notification Requirements (to prescriber, patient, or others)"
"Colorado
S.B. 15-071
Effective April 3, 2015 (date signed by Governor)","A pharmacist may substitute a biosimilar for a prescribed biologic only if:
1.    FDA has determined the biologic is interchangeable with the prescribed biologic;
2.    The prescriber has not expressed a preference against substitution; and
3.    The prescribed biologic costs more than the biosimilar.","The pharmacist must notify the “purchaser” of the
substitution in writing or orally.
The pharmacist (or designee) must notify the prescriber:
1.    Of the product’s name  and manufacturer;
2.    Within a reasonable amount of time after dispensing the biologic; and
3.    Via an interoperable electronic medical records system (with exceptions)."
,,
"Connecticut
S.B. 197
Effective October 1,
2018","A pharmacist may substitute a biosimilar for a prescribed biologic only if:
1.    The biosimilar is interchangeable with the prescribed biologic;
2.    The prescriber has not specified that there shall be no substitution;
3.    The purchaser has not instructed otherwise; and
4.    There will be a savings in cost passed on to the purchaser.","The pharmacist must notify the patient (or representative) of the substitution.
The pharmacist (or designee) must notify the prescriber:
1.    Of the product’s name and manufacturer;
2.    Within 48 hours of dispensing the biosimilar; and
3.    Via an electronic means (i.e., medical records system, prescribing technology, pharmacy record), fax, telephone, or electronic transmission."
,,
,,
State,Substitution Requirements,"Pharmacy Notification Requirements (to prescriber, patient, or others)"
